ADFR,VD4,flp-21,npr-1
ADFR,VD5,flp-21,npr-1
ADFR,VD6,flp-21,npr-1
ADFR,VD7,flp-21,npr-1
ADFR,VD8,flp-21,npr-1
ADFR,VD9,flp-21,npr-1
ADFL,ADFL,flp-21,npr-5
ADFL,ADFR,flp-21,npr-5
ADFR,ADFL,flp-21,npr-5
ADFR,ADFR,flp-21,npr-5
ADFL,AIAL,flp-21,npr-5
ADFL,AIAR,flp-21,npr-5
ADFR,AIAL,flp-21,npr-5
ADFR,AIAR,flp-21,npr-5
ADFL,ASEL,flp-21,npr-5
ADFL,ASER,flp-21,npr-5
ADFR,ASEL,flp-21,npr-5
ADFR,ASER,flp-21,npr-5
ADFL,ASGL,flp-21,npr-5
ADFL,ASGR,flp-21,npr-5
ADFR,ASGL,flp-21,npr-5
ADFR,ASGR,flp-21,npr-5
ADFL,ASIL,flp-21,npr-5
ADFL,ASIR,flp-21,npr-5
ADFR,ASIL,flp-21,npr-5
ADFR,ASIR,flp-21,npr-5
ADFL,ASJL,flp-21,npr-5
ADFL,ASJR,flp-21,npr-5
ADFR,ASJL,flp-21,npr-5
ADFR,ASJR,flp-21,npr-5
ADFL,ASKL,flp-21,npr-5
ADFL,ASKR,flp-21,npr-5
ADFR,ASKL,flp-21,npr-5
ADFR,ASKR,flp-21,npr-5
ADFL,AUAL,flp-21,npr-5
ADFL,AUAR,flp-21,npr-5
ADFR,AUAL,flp-21,npr-5
ADFR,AUAR,flp-21,npr-5
ADFL,AWAL,flp-21,npr-5
ADFL,AWAR,flp-21,npr-5
ADFR,AWAL,flp-21,npr-5
ADFR,AWAR,flp-21,npr-5
ADFL,AWBL,flp-21,npr-5
ADFL,AWBR,flp-21,npr-5
ADFR,AWBL,flp-21,npr-5
ADFR,AWBR,flp-21,npr-5
ADFL,IL2DL,flp-21,npr-5
ADFL,IL2DR,flp-21,npr-5
ADFL,IL2L,flp-21,npr-5
ADFL,IL2R,flp-21,npr-5
ADFL,IL2VL,flp-21,npr-5
ADFL,IL2VR,flp-21,npr-5
ADFR,IL2DL,flp-21,npr-5
ADFR,IL2DR,flp-21,npr-5
ADFR,IL2L,flp-21,npr-5
ADFR,IL2R,flp-21,npr-5
ADFR,IL2VL,flp-21,npr-5
ADFR,IL2VR,flp-21,npr-5
ADFL,PHAL,flp-21,npr-5
ADFL,PHAR,flp-21,npr-5
ADFR,PHAL,flp-21,npr-5
ADFR,PHAR,flp-21,npr-5
ADFL,PHBL,flp-21,npr-5
ADFL,PHBR,flp-21,npr-5
ADFR,PHBL,flp-21,npr-5
ADFR,PHBR,flp-21,npr-5
ADLL,AQR,flp-21,npr-1
ADLR,AQR,flp-21,npr-1
ADLL,ASEL,flp-21,npr-1
ADLL,ASER,flp-21,npr-1
ADLR,ASEL,flp-21,npr-1
ADLR,ASER,flp-21,npr-1
ADLL,ASGL,flp-21,npr-1
ADLL,ASGR,flp-21,npr-1
ADLR,ASGL,flp-21,npr-1
ADLR,ASGR,flp-21,npr-1
ADLL,ASHL,flp-21,npr-1
ADLL,ASHR,flp-21,npr-1
ADLR,ASHL,flp-21,npr-1
ADLR,ASHR,flp-21,npr-1
ADLL,AUAL,flp-21,npr-1
ADLL,AUAR,flp-21,npr-1
ADLR,AUAL,flp-21,npr-1
ADLR,AUAR,flp-21,npr-1
ADLL,DD1,flp-21,npr-1
ADLL,DD2,flp-21,npr-1
ADLL,DD3,flp-21,npr-1
ADLL,DD4,flp-21,npr-1
ADLL,DD5,flp-21,npr-1
ADLL,DD6,flp-21,npr-1
ADLR,DD1,flp-21,npr-1
ADLR,DD2,flp-21,npr-1
ADLR,DD3,flp-21,npr-1
ADLR,DD4,flp-21,npr-1
ADLR,DD5,flp-21,npr-1
ADLR,DD6,flp-21,npr-1
ADLL,IL2L,flp-21,npr-1
ADLR,IL2L,flp-21,npr-1
ADLL,IL2R,flp-21,npr-1
ADLR,IL2R,flp-21,npr-1
ADLL,M3L,flp-21,npr-1
ADLL,M3R,flp-21,npr-1
ADLR,M3L,flp-21,npr-1
ADLR,M3R,flp-21,npr-1
ADLL,OLQDL,flp-21,npr-1
ADLL,OLQDR,flp-21,npr-1
ADLL,OLQVL,flp-21,npr-1
ADLL,OLQVR,flp-21,npr-1
ADLR,OLQDL,flp-21,npr-1
ADLR,OLQDR,flp-21,npr-1
ADLR,OLQVL,flp-21,npr-1
ADLR,OLQVR,flp-21,npr-1
ADLL,PHAL,flp-21,npr-1
ADLL,PHAR,flp-21,npr-1
ADLR,PHAL,flp-21,npr-1
ADLR,PHAR,flp-21,npr-1
ADLL,PHBL,flp-21,npr-1
ADLL,PHBR,flp-21,npr-1
ADLR,PHBL,flp-21,npr-1
ADLR,PHBR,flp-21,npr-1
ADLL,PQR,flp-21,npr-1
ADLR,PQR,flp-21,npr-1
ADLL,RIGL,flp-21,npr-1
ADLL,RIGR,flp-21,npr-1
ADLR,RIGL,flp-21,npr-1
ADLR,RIGR,flp-21,npr-1
ADLL,RIVL,flp-21,npr-1
ADLL,RIVR,flp-21,npr-1
ADLR,RIVL,flp-21,npr-1
ADLR,RIVR,flp-21,npr-1
ADLL,RMGL,flp-21,npr-1
ADLL,RMGR,flp-21,npr-1
ADLR,RMGL,flp-21,npr-1
ADLR,RMGR,flp-21,npr-1
ADLL,SAADL,flp-21,npr-1
ADLR,SAADL,flp-21,npr-1
ADLL,SAADR,flp-21,npr-1
ADLR,SAADR,flp-21,npr-1
ADLL,SDQL,flp-21,npr-1
ADLL,SDQR,flp-21,npr-1
ADLR,SDQL,flp-21,npr-1
ADLR,SDQR,flp-21,npr-1
ADLL,SMBDL,flp-21,npr-1
ADLR,SMBDL,flp-21,npr-1
ADLL,SMBDR,flp-21,npr-1
ADLR,SMBDR,flp-21,npr-1
ADLL,URXL,flp-21,npr-1
ADLL,URXR,flp-21,npr-1
ADLR,URXL,flp-21,npr-1
ADLR,URXR,flp-21,npr-1
ADLL,VD1,flp-21,npr-1
ADLL,VD10,flp-21,npr-1
ADLL,VD11,flp-21,npr-1
ADLL,VD12,flp-21,npr-1
ADLL,VD13,flp-21,npr-1
ADLL,VD2,flp-21,npr-1
ADLL,VD3,flp-21,npr-1
ADLL,VD4,flp-21,npr-1
ADLL,VD5,flp-21,npr-1
ADLL,VD6,flp-21,npr-1
ADLL,VD7,flp-21,npr-1
ADLL,VD8,flp-21,npr-1
ADLL,VD9,flp-21,npr-1
ADLR,VD1,flp-21,npr-1
ADLR,VD10,flp-21,npr-1
ADLR,VD11,flp-21,npr-1
ADLR,VD12,flp-21,npr-1
ADLR,VD13,flp-21,npr-1
ADLR,VD2,flp-21,npr-1
ADLR,VD3,flp-21,npr-1
ADLR,VD4,flp-21,npr-1
ADLR,VD5,flp-21,npr-1
ADLR,VD6,flp-21,npr-1
ADLR,VD7,flp-21,npr-1
ADLR,VD8,flp-21,npr-1
ADLR,VD9,flp-21,npr-1
ADLL,ADFL,flp-21,npr-5
ADLL,ADFR,flp-21,npr-5
ADLR,ADFL,flp-21,npr-5
ADLR,ADFR,flp-21,npr-5
ADLL,AIAL,flp-21,npr-5
ADLL,AIAR,flp-21,npr-5
ADLR,AIAL,flp-21,npr-5
ADLR,AIAR,flp-21,npr-5
ADLL,ASEL,flp-21,npr-5
ADLL,ASER,flp-21,npr-5
ADLR,ASEL,flp-21,npr-5
ADLR,ASER,flp-21,npr-5
ADLL,ASGL,flp-21,npr-5
ADLL,ASGR,flp-21,npr-5
ADLR,ASGL,flp-21,npr-5
ADLR,ASGR,flp-21,npr-5
ADLL,ASIL,flp-21,npr-5
ADLL,ASIR,flp-21,npr-5
ADLR,ASIL,flp-21,npr-5
ADLR,ASIR,flp-21,npr-5
ADLL,ASJL,flp-21,npr-5
ADLL,ASJR,flp-21,npr-5
ADLR,ASJL,flp-21,npr-5
ADLR,ASJR,flp-21,npr-5
ADLL,ASKL,flp-21,npr-5
ADLL,ASKR,flp-21,npr-5
ADLR,ASKL,flp-21,npr-5
ADLR,ASKR,flp-21,npr-5
ADLL,AUAL,flp-21,npr-5
ADLL,AUAR,flp-21,npr-5
ADLR,AUAL,flp-21,npr-5
ADLR,AUAR,flp-21,npr-5
ADLL,AWAL,flp-21,npr-5
ADLL,AWAR,flp-21,npr-5
ADLR,AWAL,flp-21,npr-5
ADLR,AWAR,flp-21,npr-5
ADLL,AWBL,flp-21,npr-5
ADLL,AWBR,flp-21,npr-5
ADLR,AWBL,flp-21,npr-5
ADLR,AWBR,flp-21,npr-5
ADLL,IL2DL,flp-21,npr-5
ADLL,IL2DR,flp-21,npr-5
ADLL,IL2L,flp-21,npr-5
ADLL,IL2R,flp-21,npr-5
ADLL,IL2VL,flp-21,npr-5
ADLL,IL2VR,flp-21,npr-5
ADLR,IL2DL,flp-21,npr-5
ADLR,IL2DR,flp-21,npr-5
ADLR,IL2L,flp-21,npr-5
ADLR,IL2R,flp-21,npr-5
ADLR,IL2VL,flp-21,npr-5
ADLR,IL2VR,flp-21,npr-5
ADLL,PHAL,flp-21,npr-5
ADLL,PHAR,flp-21,npr-5
ADLR,PHAL,flp-21,npr-5
ADLR,PHAR,flp-21,npr-5
ADLL,PHBL,flp-21,npr-5
ADLL,PHBR,flp-21,npr-5
ADLR,PHBL,flp-21,npr-5
ADLR,PHBR,flp-21,npr-5
ASEL,AQR,flp-21,npr-1
ASER,AQR,flp-21,npr-1
ASEL,ASEL,flp-21,npr-1
ASEL,ASER,flp-21,npr-1
ASER,ASEL,flp-21,npr-1
ASER,ASER,flp-21,npr-1
ASEL,ASGL,flp-21,npr-1
ASEL,ASGR,flp-21,npr-1
ASER,ASGL,flp-21,npr-1
ASER,ASGR,flp-21,npr-1
ASEL,ASHL,flp-21,npr-1
ASEL,ASHR,flp-21,npr-1
ASER,ASHL,flp-21,npr-1
ASER,ASHR,flp-21,npr-1
ASEL,AUAL,flp-21,npr-1
ASEL,AUAR,flp-21,npr-1
ASER,AUAL,flp-21,npr-1
ASER,AUAR,flp-21,npr-1
ASEL,DD1,flp-21,npr-1
ASEL,DD2,flp-21,npr-1
ASEL,DD3,flp-21,npr-1
ASEL,DD4,flp-21,npr-1
ASEL,DD5,flp-21,npr-1
ASEL,DD6,flp-21,npr-1
ASER,DD1,flp-21,npr-1
ASER,DD2,flp-21,npr-1
ASER,DD3,flp-21,npr-1
ASER,DD4,flp-21,npr-1
ASER,DD5,flp-21,npr-1
ASER,DD6,flp-21,npr-1
ASEL,IL2L,flp-21,npr-1
ASER,IL2L,flp-21,npr-1
ASEL,IL2R,flp-21,npr-1
ASER,IL2R,flp-21,npr-1
ASEL,M3L,flp-21,npr-1
ASEL,M3R,flp-21,npr-1
ASER,M3L,flp-21,npr-1
ASER,M3R,flp-21,npr-1
ASEL,OLQDL,flp-21,npr-1
ASEL,OLQDR,flp-21,npr-1
ASEL,OLQVL,flp-21,npr-1
ASEL,OLQVR,flp-21,npr-1
ASER,OLQDL,flp-21,npr-1
ASER,OLQDR,flp-21,npr-1
ASER,OLQVL,flp-21,npr-1
ASER,OLQVR,flp-21,npr-1
ASEL,PHAL,flp-21,npr-1
ASEL,PHAR,flp-21,npr-1
ASER,PHAL,flp-21,npr-1
ASER,PHAR,flp-21,npr-1
ASEL,PHBL,flp-21,npr-1
ASEL,PHBR,flp-21,npr-1
ASER,PHBL,flp-21,npr-1
ASER,PHBR,flp-21,npr-1
ASEL,PQR,flp-21,npr-1
ASER,PQR,flp-21,npr-1
ASEL,RIGL,flp-21,npr-1
ASEL,RIGR,flp-21,npr-1
ASER,RIGL,flp-21,npr-1
ASER,RIGR,flp-21,npr-1
ASEL,RIVL,flp-21,npr-1
ASEL,RIVR,flp-21,npr-1
ASER,RIVL,flp-21,npr-1
ASER,RIVR,flp-21,npr-1
ASEL,RMGL,flp-21,npr-1
ASEL,RMGR,flp-21,npr-1
ASER,RMGL,flp-21,npr-1
ASER,RMGR,flp-21,npr-1
ASEL,SAADL,flp-21,npr-1
ASER,SAADL,flp-21,npr-1
ASEL,SAADR,flp-21,npr-1
ASER,SAADR,flp-21,npr-1
ASEL,SDQL,flp-21,npr-1
ASEL,SDQR,flp-21,npr-1
ASER,SDQL,flp-21,npr-1
ASER,SDQR,flp-21,npr-1
ASEL,SMBDL,flp-21,npr-1
ASER,SMBDL,flp-21,npr-1
ASEL,SMBDR,flp-21,npr-1
ASER,SMBDR,flp-21,npr-1
ASEL,URXL,flp-21,npr-1
ASEL,URXR,flp-21,npr-1
ASER,URXL,flp-21,npr-1
ASER,URXR,flp-21,npr-1
ASEL,VD1,flp-21,npr-1
ASEL,VD10,flp-21,npr-1
ASEL,VD11,flp-21,npr-1
ASEL,VD12,flp-21,npr-1
ASEL,VD13,flp-21,npr-1
ASEL,VD2,flp-21,npr-1
ASEL,VD3,flp-21,npr-1
ASEL,VD4,flp-21,npr-1
ASEL,VD5,flp-21,npr-1
ASEL,VD6,flp-21,npr-1
ASEL,VD7,flp-21,npr-1
ASEL,VD8,flp-21,npr-1
ASEL,VD9,flp-21,npr-1
ASER,VD1,flp-21,npr-1
ASER,VD10,flp-21,npr-1
ASER,VD11,flp-21,npr-1
ASER,VD12,flp-21,npr-1
ASER,VD13,flp-21,npr-1
ASER,VD2,flp-21,npr-1
ASER,VD3,flp-21,npr-1
ASER,VD4,flp-21,npr-1
ASER,VD5,flp-21,npr-1
ASER,VD6,flp-21,npr-1
ASER,VD7,flp-21,npr-1
ASER,VD8,flp-21,npr-1
ASER,VD9,flp-21,npr-1
ASEL,ADFL,flp-21,npr-5
ASEL,ADFR,flp-21,npr-5
ASER,ADFL,flp-21,npr-5
ASER,ADFR,flp-21,npr-5
ASEL,AIAL,flp-21,npr-5
ASEL,AIAR,flp-21,npr-5
ASER,AIAL,flp-21,npr-5
ASER,AIAR,flp-21,npr-5
ASEL,ASEL,flp-21,npr-5
ASEL,ASER,flp-21,npr-5
ASER,ASEL,flp-21,npr-5
ASER,ASER,flp-21,npr-5
ASEL,ASGL,flp-21,npr-5
ASEL,ASGR,flp-21,npr-5
ASER,ASGL,flp-21,npr-5
ASER,ASGR,flp-21,npr-5
ASEL,ASIL,flp-21,npr-5
ASEL,ASIR,flp-21,npr-5
ASER,ASIL,flp-21,npr-5
ASER,ASIR,flp-21,npr-5
ASEL,ASJL,flp-21,npr-5
ASEL,ASJR,flp-21,npr-5
ASER,ASJL,flp-21,npr-5
ASER,ASJR,flp-21,npr-5
ASEL,ASKL,flp-21,npr-5
ASEL,ASKR,flp-21,npr-5
ASER,ASKL,flp-21,npr-5
ASER,ASKR,flp-21,npr-5
ASEL,AUAL,flp-21,npr-5
ASEL,AUAR,flp-21,npr-5
ASER,AUAL,flp-21,npr-5
ASER,AUAR,flp-21,npr-5
ASEL,AWAL,flp-21,npr-5
ASEL,AWAR,flp-21,npr-5
ASER,AWAL,flp-21,npr-5
ASER,AWAR,flp-21,npr-5
ASEL,AWBL,flp-21,npr-5
ASEL,AWBR,flp-21,npr-5
ASER,AWBL,flp-21,npr-5
ASER,AWBR,flp-21,npr-5
ASEL,IL2DL,flp-21,npr-5
ASEL,IL2DR,flp-21,npr-5
ASEL,IL2L,flp-21,npr-5
ASEL,IL2R,flp-21,npr-5
ASEL,IL2VL,flp-21,npr-5
ASEL,IL2VR,flp-21,npr-5
ASER,IL2DL,flp-21,npr-5
ASER,IL2DR,flp-21,npr-5
ASER,IL2L,flp-21,npr-5
ASER,IL2R,flp-21,npr-5
ASER,IL2VL,flp-21,npr-5
ASER,IL2VR,flp-21,npr-5
ASEL,PHAL,flp-21,npr-5
ASEL,PHAR,flp-21,npr-5
ASER,PHAL,flp-21,npr-5
ASER,PHAR,flp-21,npr-5
ASEL,PHBL,flp-21,npr-5
ASEL,PHBR,flp-21,npr-5
ASER,PHBL,flp-21,npr-5
ASER,PHBR,flp-21,npr-5
ASGL,AQR,flp-21,npr-1
ASGR,AQR,flp-21,npr-1
ASGL,ASEL,flp-21,npr-1
ASGL,ASER,flp-21,npr-1
ASGR,ASEL,flp-21,npr-1
ASGR,ASER,flp-21,npr-1
ASGL,ASGL,flp-21,npr-1
ASGL,ASGR,flp-21,npr-1
ASGR,ASGL,flp-21,npr-1
ASGR,ASGR,flp-21,npr-1
ASGL,ASHL,flp-21,npr-1
ASGL,ASHR,flp-21,npr-1
ASGR,ASHL,flp-21,npr-1
ASGR,ASHR,flp-21,npr-1
ASGL,AUAL,flp-21,npr-1
ASGL,AUAR,flp-21,npr-1
ASGR,AUAL,flp-21,npr-1
ASGR,AUAR,flp-21,npr-1
ASGL,DD1,flp-21,npr-1
ASGL,DD2,flp-21,npr-1
ASGL,DD3,flp-21,npr-1
ASGL,DD4,flp-21,npr-1
ASGL,DD5,flp-21,npr-1
ASGL,DD6,flp-21,npr-1
ASGR,DD1,flp-21,npr-1
ASGR,DD2,flp-21,npr-1
ASGR,DD3,flp-21,npr-1
ASGR,DD4,flp-21,npr-1
ASGR,DD5,flp-21,npr-1
ASGR,DD6,flp-21,npr-1
ASGL,IL2L,flp-21,npr-1
ASGR,IL2L,flp-21,npr-1
ASGL,IL2R,flp-21,npr-1
ASGR,IL2R,flp-21,npr-1
ASGL,M3L,flp-21,npr-1
ASGL,M3R,flp-21,npr-1
ASGR,M3L,flp-21,npr-1
ASGR,M3R,flp-21,npr-1
ASGL,OLQDL,flp-21,npr-1
ASGL,OLQDR,flp-21,npr-1
ASGL,OLQVL,flp-21,npr-1
ASGL,OLQVR,flp-21,npr-1
ASGR,OLQDL,flp-21,npr-1
ASGR,OLQDR,flp-21,npr-1
ASGR,OLQVL,flp-21,npr-1
ASGR,OLQVR,flp-21,npr-1
ASGL,PHAL,flp-21,npr-1
ASGL,PHAR,flp-21,npr-1
ASGR,PHAL,flp-21,npr-1
ASGR,PHAR,flp-21,npr-1
ASGL,PHBL,flp-21,npr-1
ASGL,PHBR,flp-21,npr-1
ASGR,PHBL,flp-21,npr-1
ASGR,PHBR,flp-21,npr-1
ASGL,PQR,flp-21,npr-1
ASGR,PQR,flp-21,npr-1
ASGL,RIGL,flp-21,npr-1
ASGL,RIGR,flp-21,npr-1
ASGR,RIGL,flp-21,npr-1
ASGR,RIGR,flp-21,npr-1
ASGL,RIVL,flp-21,npr-1
ASGL,RIVR,flp-21,npr-1
ASGR,RIVL,flp-21,npr-1
ASGR,RIVR,flp-21,npr-1
ASGL,RMGL,flp-21,npr-1
ASGL,RMGR,flp-21,npr-1
ASGR,RMGL,flp-21,npr-1
ASGR,RMGR,flp-21,npr-1
ASGL,SAADL,flp-21,npr-1
ASGR,SAADL,flp-21,npr-1
ASGL,SAADR,flp-21,npr-1
ASGR,SAADR,flp-21,npr-1
ASGL,SDQL,flp-21,npr-1
ASGL,SDQR,flp-21,npr-1
ASGR,SDQL,flp-21,npr-1
ASGR,SDQR,flp-21,npr-1
ASGL,SMBDL,flp-21,npr-1
ASGR,SMBDL,flp-21,npr-1
ASGL,SMBDR,flp-21,npr-1
ASGR,SMBDR,flp-21,npr-1
ASGL,URXL,flp-21,npr-1
ASGL,URXR,flp-21,npr-1
ASGR,URXL,flp-21,npr-1
ASGR,URXR,flp-21,npr-1
ASGL,VD1,flp-21,npr-1
ASGL,VD10,flp-21,npr-1
ASGL,VD11,flp-21,npr-1
ASGL,VD12,flp-21,npr-1
ASGL,VD13,flp-21,npr-1
ASGL,VD2,flp-21,npr-1
ASGL,VD3,flp-21,npr-1
ASGL,VD4,flp-21,npr-1
ASGL,VD5,flp-21,npr-1
ASGL,VD6,flp-21,npr-1
ASGL,VD7,flp-21,npr-1
ASGL,VD8,flp-21,npr-1
ASGL,VD9,flp-21,npr-1
ASGR,VD1,flp-21,npr-1
ASGR,VD10,flp-21,npr-1
ASGR,VD11,flp-21,npr-1
ASGR,VD12,flp-21,npr-1
ASGR,VD13,flp-21,npr-1
ASGR,VD2,flp-21,npr-1
ASGR,VD3,flp-21,npr-1
ASGR,VD4,flp-21,npr-1
ASGR,VD5,flp-21,npr-1
ASGR,VD6,flp-21,npr-1
ASGR,VD7,flp-21,npr-1
ASGR,VD8,flp-21,npr-1
ASGR,VD9,flp-21,npr-1
ASGL,ADFL,flp-21,npr-5
ASGL,ADFR,flp-21,npr-5
ASGR,ADFL,flp-21,npr-5
ASGR,ADFR,flp-21,npr-5
ASGL,AIAL,flp-21,npr-5
ASGL,AIAR,flp-21,npr-5
ASGR,AIAL,flp-21,npr-5
ASGR,AIAR,flp-21,npr-5
ASGL,ASEL,flp-21,npr-5
ASGL,ASER,flp-21,npr-5
ASGR,ASEL,flp-21,npr-5
ASGR,ASER,flp-21,npr-5
ASGL,ASGL,flp-21,npr-5
ASGL,ASGR,flp-21,npr-5
ASGR,ASGL,flp-21,npr-5
ASGR,ASGR,flp-21,npr-5
ASGL,ASIL,flp-21,npr-5
ASGL,ASIR,flp-21,npr-5
ASGR,ASIL,flp-21,npr-5
ASGR,ASIR,flp-21,npr-5
ASGL,ASJL,flp-21,npr-5
ASGL,ASJR,flp-21,npr-5
ASGR,ASJL,flp-21,npr-5
ASGR,ASJR,flp-21,npr-5
ASGL,ASKL,flp-21,npr-5
ASGL,ASKR,flp-21,npr-5
ASGR,ASKL,flp-21,npr-5
ASGR,ASKR,flp-21,npr-5
ASGL,AUAL,flp-21,npr-5
ASGL,AUAR,flp-21,npr-5
ASGR,AUAL,flp-21,npr-5
ASGR,AUAR,flp-21,npr-5
ASGL,AWAL,flp-21,npr-5
ASGL,AWAR,flp-21,npr-5
ASGR,AWAL,flp-21,npr-5
ASGR,AWAR,flp-21,npr-5
ASGL,AWBL,flp-21,npr-5
ASGL,AWBR,flp-21,npr-5
ASGR,AWBL,flp-21,npr-5
ASGR,AWBR,flp-21,npr-5
ASGL,IL2DL,flp-21,npr-5
ASGL,IL2DR,flp-21,npr-5
ASGL,IL2L,flp-21,npr-5
ASGL,IL2R,flp-21,npr-5
ASGL,IL2VL,flp-21,npr-5
ASGL,IL2VR,flp-21,npr-5
ASGR,IL2DL,flp-21,npr-5
ASGR,IL2DR,flp-21,npr-5
ASGR,IL2L,flp-21,npr-5
ASGR,IL2R,flp-21,npr-5
ASGR,IL2VL,flp-21,npr-5
ASGR,IL2VR,flp-21,npr-5
ASGL,PHAL,flp-21,npr-5
ASGL,PHAR,flp-21,npr-5
ASGR,PHAL,flp-21,npr-5
ASGR,PHAR,flp-21,npr-5
ASGL,PHBL,flp-21,npr-5
ASGL,PHBR,flp-21,npr-5
ASGR,PHBL,flp-21,npr-5
ASGR,PHBR,flp-21,npr-5
ASHL,AQR,flp-21,npr-1
ASHR,AQR,flp-21,npr-1
ASHL,ASEL,flp-21,npr-1
ASHL,ASER,flp-21,npr-1
ASHR,ASEL,flp-21,npr-1
ASHR,ASER,flp-21,npr-1
ASHL,ASGL,flp-21,npr-1
ASHL,ASGR,flp-21,npr-1
ASHR,ASGL,flp-21,npr-1
ASHR,ASGR,flp-21,npr-1
ASHL,ASHL,flp-21,npr-1
ASHL,ASHR,flp-21,npr-1
ASHR,ASHL,flp-21,npr-1
ASHR,ASHR,flp-21,npr-1
ASHL,AUAL,flp-21,npr-1
ASHL,AUAR,flp-21,npr-1
ASHR,AUAL,flp-21,npr-1
ASHR,AUAR,flp-21,npr-1
ASHL,DD1,flp-21,npr-1
ASHL,DD2,flp-21,npr-1
ASHL,DD3,flp-21,npr-1
ASHL,DD4,flp-21,npr-1
ASHL,DD5,flp-21,npr-1
ASHL,DD6,flp-21,npr-1
ASHR,DD1,flp-21,npr-1
ASHR,DD2,flp-21,npr-1
ASHR,DD3,flp-21,npr-1
ASHR,DD4,flp-21,npr-1
ASHR,DD5,flp-21,npr-1
ASHR,DD6,flp-21,npr-1
ASHL,IL2L,flp-21,npr-1
ASHR,IL2L,flp-21,npr-1
ASHL,IL2R,flp-21,npr-1
ASHR,IL2R,flp-21,npr-1
ASHL,M3L,flp-21,npr-1
ASHL,M3R,flp-21,npr-1
ASHR,M3L,flp-21,npr-1
ASHR,M3R,flp-21,npr-1
ASHL,OLQDL,flp-21,npr-1
ASHL,OLQDR,flp-21,npr-1
ASHL,OLQVL,flp-21,npr-1
ASHL,OLQVR,flp-21,npr-1
ASHR,OLQDL,flp-21,npr-1
ASHR,OLQDR,flp-21,npr-1
ASHR,OLQVL,flp-21,npr-1
ASHR,OLQVR,flp-21,npr-1
ASHL,PHAL,flp-21,npr-1
ASHL,PHAR,flp-21,npr-1
ASHR,PHAL,flp-21,npr-1
ASHR,PHAR,flp-21,npr-1
ASHL,PHBL,flp-21,npr-1
ASHL,PHBR,flp-21,npr-1
ASHR,PHBL,flp-21,npr-1
ASHR,PHBR,flp-21,npr-1
ASHL,PQR,flp-21,npr-1
ASHR,PQR,flp-21,npr-1
ASHL,RIGL,flp-21,npr-1
ASHL,RIGR,flp-21,npr-1
ASHR,RIGL,flp-21,npr-1
ASHR,RIGR,flp-21,npr-1
ASHL,RIVL,flp-21,npr-1
ASHL,RIVR,flp-21,npr-1
ASHR,RIVL,flp-21,npr-1
ASHR,RIVR,flp-21,npr-1
ASHL,RMGL,flp-21,npr-1
ASHL,RMGR,flp-21,npr-1
ASHR,RMGL,flp-21,npr-1
ASHR,RMGR,flp-21,npr-1
ASHL,SAADL,flp-21,npr-1
ASHR,SAADL,flp-21,npr-1
ASHL,SAADR,flp-21,npr-1
ASHR,SAADR,flp-21,npr-1
ASHL,SDQL,flp-21,npr-1
ASHL,SDQR,flp-21,npr-1
ASHR,SDQL,flp-21,npr-1
ASHR,SDQR,flp-21,npr-1
ASHL,SMBDL,flp-21,npr-1
ASHR,SMBDL,flp-21,npr-1
ASHL,SMBDR,flp-21,npr-1
ASHR,SMBDR,flp-21,npr-1
ASHL,URXL,flp-21,npr-1
ASHL,URXR,flp-21,npr-1
ASHR,URXL,flp-21,npr-1
ASHR,URXR,flp-21,npr-1
ASHL,VD1,flp-21,npr-1
ASHL,VD10,flp-21,npr-1
ASHL,VD11,flp-21,npr-1
ASHL,VD12,flp-21,npr-1
ASHL,VD13,flp-21,npr-1
ASHL,VD2,flp-21,npr-1
ASHL,VD3,flp-21,npr-1
ASHL,VD4,flp-21,npr-1
ASHL,VD5,flp-21,npr-1
ASHL,VD6,flp-21,npr-1
ASHL,VD7,flp-21,npr-1
ASHL,VD8,flp-21,npr-1
ASHL,VD9,flp-21,npr-1
ASHR,VD1,flp-21,npr-1
ASHR,VD10,flp-21,npr-1
ASHR,VD11,flp-21,npr-1
ASHR,VD12,flp-21,npr-1
ASHR,VD13,flp-21,npr-1
ASHR,VD2,flp-21,npr-1
ASHR,VD3,flp-21,npr-1
ASHR,VD4,flp-21,npr-1
ASHR,VD5,flp-21,npr-1
ASHR,VD6,flp-21,npr-1
ASHR,VD7,flp-21,npr-1
ASHR,VD8,flp-21,npr-1
ASHR,VD9,flp-21,npr-1
ASHL,ADFL,flp-21,npr-5
ASHL,ADFR,flp-21,npr-5
ASHR,ADFL,flp-21,npr-5
ASHR,ADFR,flp-21,npr-5
ASHL,AIAL,flp-21,npr-5
ASHL,AIAR,flp-21,npr-5
ASHR,AIAL,flp-21,npr-5
ASHR,AIAR,flp-21,npr-5
ASHL,ASEL,flp-21,npr-5
ASHL,ASER,flp-21,npr-5
ASHR,ASEL,flp-21,npr-5
ASHR,ASER,flp-21,npr-5
ASHL,ASGL,flp-21,npr-5
ASHL,ASGR,flp-21,npr-5
ASHR,ASGL,flp-21,npr-5
ASHR,ASGR,flp-21,npr-5
ASHL,ASIL,flp-21,npr-5
ASHL,ASIR,flp-21,npr-5
ASHR,ASIL,flp-21,npr-5
ASHR,ASIR,flp-21,npr-5
ASHL,ASJL,flp-21,npr-5
ASHL,ASJR,flp-21,npr-5
ASHR,ASJL,flp-21,npr-5
ASHR,ASJR,flp-21,npr-5
ASHL,ASKL,flp-21,npr-5
